video_id,schema,prompt_version,lab_json_exists,lab_json_matches,v10_cache_exists,graphml_exists,graphml_size_bytes,graphml_parses,graphml_nodes,graphml_edges,unknown_services_count,unknown_services_list,verdict
XUCGMzLx8wY,A,,0,0,0,1,4664,1,7,8,0,,v9_probable
YiOTd6IfGoU,A,,0,0,0,1,5865,1,12,11,0,,v9_probable
Yju3yReAQtc,A,,0,0,0,1,5020,1,13,6,0,,v9_probable
YlGUMhls9ZA,A,,0,0,0,1,6613,1,14,14,0,,v9_probable
ym_Gz_zH7w8,A,,0,0,0,1,6791,1,11,14,0,,v9_probable
YosezjoL4MU,A,,0,0,0,1,4505,1,11,6,0,,v9_probable
yPJf85tjv6M,A,,0,0,0,1,5513,1,11,10,0,,v9_probable
YrEc8oMIxDs,A,,0,0,0,1,4373,1,10,9,0,,v9_probable
YV8e36ZywLk,A,,0,0,0,1,3262,1,5,4,0,,v9_probable
yXpd8gPfows,A,,0,0,0,1,5494,1,9,11,0,,v9_probable
ZCj2wuKBBu4,A,,0,0,0,1,4099,1,7,6,0,,v9_probable
zhCNn7v7mvs,A,,0,0,0,1,5260,1,9,10,0,,v9_probable
ZNt9qI_LlPk,A,,0,0,0,1,4946,1,7,9,0,,v9_probable
ZPsBzAwJzoI,A,,0,0,0,1,6178,1,12,12,0,,v9_probable
zqiNLMmEeSo,A,,0,0,0,1,3051,1,11,0,0,,v9_probable
