video_id,title,category,gen_nodes,gt_nodes,svc_precision,svc_recall,svc_f1,gen_edges,gt_edges,edge_precision,edge_recall,edge_f1,is_zero_edge_gt
LxeSC3-xMlk,Video LxeSC3-xMlk,Uncategorized,10,8,0.8888888888888888,1.0,0.9411764705882353,9,15,0.7777777777777778,0.4666666666666667,0.5833333333333334,False
Ly_UhX3LCCs,Video Ly_UhX3LCCs,Uncategorized,9,7,1.0,1.0,1.0,10,7,0.4,0.5714285714285714,0.47058823529411764,False
LYP98nPBj2A,Video LYP98nPBj2A,Uncategorized,8,5,0.6666666666666666,1.0,0.8,7,8,0.42857142857142855,0.375,0.39999999999999997,False
M_hqigB9C4I,Video M_hqigB9C4I,Uncategorized,9,9,0.625,0.625,0.625,8,16,0.375,0.1875,0.25,False
MbkLJ62jtMc,Video MbkLJ62jtMc,Uncategorized,8,6,0.625,0.8333333333333334,0.7142857142857143,7,4,0.42857142857142855,0.75,0.5454545454545454,False
mKZw29_UtoU,Video mKZw29_UtoU,Uncategorized,10,10,0.8888888888888888,0.8888888888888888,0.8888888888888888,12,17,0.9166666666666666,0.6470588235294118,0.7586206896551724,False
mmM_JnYygZM,Video mmM_JnYygZM,Uncategorized,10,10,0.6666666666666666,0.75,0.7058823529411765,5,14,0.4,0.14285714285714285,0.21052631578947364,False
mT4KDGRgo4k,Video mT4KDGRgo4k,Uncategorized,7,5,1.0,1.0,1.0,5,9,1.0,0.5555555555555556,0.7142857142857143,False
mtZvA7ARepM,Video mtZvA7ARepM,Uncategorized,8,9,0.8571428571428571,0.75,0.7999999999999999,8,16,0.75,0.375,0.5,False
mZxF1IJEsaY,Video mZxF1IJEsaY,Uncategorized,9,8,0.8571428571428571,1.0,0.923076923076923,10,8,0.8,1.0,0.888888888888889,False
N2mktbl8EQk,Video N2mktbl8EQk,Uncategorized,6,6,0.8333333333333334,0.8333333333333334,0.8333333333333334,5,9,0.6,0.3333333333333333,0.42857142857142855,False
nflGdpwbf54,Video nflGdpwbf54,Uncategorized,8,8,0.875,0.875,0.875,10,11,0.7,0.6363636363636364,0.6666666666666666,False
NfUwtK8ALtw,Video NfUwtK8ALtw,Uncategorized,9,9,0.875,1.0,0.9333333333333333,12,16,0.4166666666666667,0.3125,0.35714285714285715,False
